📊 Episode 15 (Route 0): Reward=-4.86, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.31, TTC_Penalty=-0.02, AccPenalty=0.00, LowSpeedPenalty=-5.14, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 16 (Route 0): Reward=-4.97, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.37, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.34, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 17 (Route 0): Reward=-4.55, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.64, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.19, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 18 (Route 0): Reward=-5.03, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.28, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.31, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 19 (Route 0): Reward=-4.40, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.68, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.08, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 20 (Route 0): Reward=-4.58, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.74, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.32, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 21 (Route 0): Reward=-5.62, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.32, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.94, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 22 (Route 0): Reward=-4.66, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.53, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.19, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 23 (Route 0): Reward=-5.49, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.20, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.68, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 24 (Route 0): Reward=-4.69, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.51, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.20, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 25 (Route 0): Reward=-5.44, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.24, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.68, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 26 (Route 0): Reward=-4.52, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.66, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.17, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 27 (Route 0): Reward=-4.38, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.56, TTC_Penalty=-0.00, AccPenalty=0.00, LowSpeedPenalty=-4.93, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 28 (Route 0): Reward=-5.31, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.32, TTC_Penalty=0.00, AccPenalty=0.00, LowSpeedPenalty=-5.62, Actor Loss=-0.154405, Critic1 Loss=0.019717, Critic2 Loss=0.031929, Alpha=0.2231, AvgQ=0.0032, AvgLogPi=-0.6779, Steps to Finish=700
📊 Episode 29 (Route 0): Reward=-4.98, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.45, TTC_Penalty=-0.11, AccPenalty=-0.09, LowSpeedPenalty=-5.23, Actor Loss=-0.252801, Critic1 Loss=0.009436, Critic2 Loss=0.013571, Alpha=0.2200, AvgQ=0.1025, AvgLogPi=-0.6832, Steps to Finish=700
