📊 Episode 15 (Route 0): Reward=-2.92, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=1.28, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.20, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 16 (Route 0): Reward=-5.53, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.98, D_Penalty=-2.7098, AccPenalty=0.12, LowSpeedPenalty=-3.92, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 17 (Route 0): Reward=-5.57, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.96, D_Penalty=-2.8197, AccPenalty=-0.29, LowSpeedPenalty=-3.42, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 18 (Route 0): Reward=-3.60, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.88, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.49, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 19 (Route 0): Reward=-5.28, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.27, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.55, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 20 (Route 0): Reward=-4.43, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.62, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.05, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 21 (Route 0): Reward=-3.86, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.84, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.69, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 22 (Route 0): Reward=-4.06, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.79, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.84, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 23 (Route 0): Reward=-3.61, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.90, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-4.51, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
📊 Episode 24 (Route 0): Reward=-4.89, GoalReward=0.0, CollisionPenalty=0.0, MiddleReward=0.00, SP_Penalty=0.00, SpeedReward=0.43, D_Penalty=0.0000, AccPenalty=0.00, LowSpeedPenalty=-5.32, Actor Loss=0.000000, Critic1 Loss=0.000000, Critic2 Loss=0.000000, Alpha=0.0000, AvgQ=0.0000, AvgLogPi=0.0000, Steps to Finish=700
